Date,Bar Name,Brand Name,Consumed (ml),Purchase (ml),Opening Balance,Closing Balance,Transactions,Day of Week,Stockout Flag
2023-01-02,Anderson's Bar,Absolut,118.62,0.0,1309.92,1191.3,1.0,Monday,0
2023-01-03,Anderson's Bar,Absolut,0.0,0.0,1191.3,1191.3,0.0,Tuesday,0
2023-01-04,Anderson's Bar,Absolut,0.0,0.0,1191.3,1191.3,0.0,Wednesday,0
2023-01-05,Anderson's Bar,Absolut,463.2,0.0,1191.3,728.1,1.0,Thursday,0
2023-01-06,Anderson's Bar,Absolut,453.02,0.0,728.1,275.08,1.0,Friday,0
2023-01-07,Anderson's Bar,Absolut,0.0,0.0,275.08,275.08,0.0,Saturday,0
2023-01-08,Anderson's Bar,Absolut,275.08,0.0,275.08,0.0,1.0,Sunday,1
2023-01-09,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Monday,1
2023-01-10,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Tuesday,1
2023-01-11,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,1.0,Wednesday,1
2023-01-12,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Thursday,1
2023-01-13,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Friday,1
2023-01-14,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Saturday,1
2023-01-15,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Sunday,1
2023-01-16,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Monday,1
2023-01-17,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Tuesday,1
2023-01-18,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Wednesday,1
2023-01-19,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Thursday,1
2023-01-20,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Friday,1
2023-01-21,Anderson's Bar,Absolut,0.0,0.0,0.0,0.0,0.0,Saturday,1
