,Stockout days,Stockout rate (% of demand days),Lost volume (ml),Fill rate (%),Avg daily holding stock (ml),Turnover (x per year),Days of cover,Orders placed
Static par (no safety stock),1084.0,95.84438549955792,283234.9610090873,28.433153936549193,7892.948315818836,247.31864969675544,1.4758288566088205,982.0
"Static par + SS (normal Z, 95%)",430.0,38.01945181255526,69412.07217088557,82.4611938219042,34001.22309760313,57.4118558615088,6.357571872967628,1081.0
"Dynamic par - Linear regression (normal Z, 95%)",410.0,36.251105216622456,68373.64599212351,82.72357981485843,35082.990641636585,55.64158824241937,6.55984150577743,1979.0
"Static par + SS (calibrated Z, 95%)",102.0,9.018567639257295,18772.772617187024,95.2565597012041,59613.94019449649,32.745249068015944,11.146655175590501,1126.0
"Dynamic par - 7d moving avg (calibrated, 95%)",40.0,3.5366931918656057,7732.105240220757,98.04627796123118,85828.65858771047,22.743840480737813,16.048301090975613,2079.0
"Dynamic par - Linear regression (calibrated, 95%)",62.0,5.4818744473916885,11071.31495025037,97.20253781545306,72047.6946746182,27.09418154752277,13.471527064207336,1966.0
"Dynamic par - Linear regression (calibrated, 99%)",9.0,0.7957559681697612,742.6024370122404,99.81236174338558,114264.56723231304,17.083802677218426,21.36526667372097,1918.0
"Dynamic par - Linear regression (calibrated, 95%) + min order",19.0,1.6799292661361627,2885.0345906702823,99.27101927776633,108305.47354716295,18.023773459099832,20.25103127423736,581.0
Static par + SS (same average stock as dynamic 95%),59.0,5.216622458001768,10101.417681119,97.44760815673433,72041.3054896931,27.096584470889084,13.47033241005462,1127.0
"Historical (actual, same period)",41.0,3.6251105216622457,,,269551.570945946,7.241928929384907,50.40093648516393,315.0
